"node_id","cluster_id","doi","pmid"
14066214,1,"10.1126/science.6494891",6494891
1515119,1,"10.1101/gad.1218004",15371329
3004709,1,"10.1101/gad.307804",15371337
6075294,1,"10.1038/nature02872",15372040
2273237,1,"10.1038/nature02873",15372041
1353321,1,"10.1038/nature02871",15372042
1143271,1,"10.1038/nature02874",15372043
464549,1,"10.1038/nature02875",15372044
2099708,1,"10.1038/sj.emboj.7600385",15372072
3767525,1,"10.1261/rna.5248604",15383676
5088909,1,"10.1016/s0168-9525(01)02367-8",11485817
5727286,1,"10.1126/science.1062039",11486053
4042952,1,"10.1126/science.1064023",11498593
1862494,1,"10.1073/pnas.0505461102",16081530
1282322,1,"10.1126/science.1115079",16081698
3832013,1,"10.1186/gb-2005-6-8-r71",16086853
2863135,1,"10.1016/j.gde.2005.08.005",16099643
1374245,1,"10.1073/pnas.0505479102",16099834
2300330,1,"10.1371/journal.pcbi.0010013",16103902
273572,1,"10.1016/j.molcel.2005.07.013",16109369
4274450,1,"10.1016/j.febslet.2005.07.070",16111679
996370,1,"10.1016/j.cub.2005.07.029",16111943
3422878,1,"10.1093/emboj/21.3.398",11823432
531967,1,"10.1261/rna.7119904",15496526
271079,1,"10.1371/journal.pbio.0020363",15502875
2633550,1,"10.1016/j.ydbio.2006.08.028",16989803
5276104,1,"10.1016/j.cell.2006.07.031",16990141
462424,1,"10.1038/nature05198",16998468
4738776,1,"10.1016/j.devcel.2006.09.009",17011485
5728012,1,"10.1126/science.290.5494.1159",11073454
1331250,1,"10.1038/35040556",11081512
4395526,1,"10.1038/nsmb729",14983173
2852358,1,"10.1093/nar/gnh040",14985473
2016754,1,"10.1126/science.1095989",14988555
5502726,1,"10.1038/nature02366",14999284
4657561,1,"10.1038/nature02363",14999285
5057412,1,"10.1186/gb-2004-5-3-r13",15003116
4755411,1,"10.1016/j.pbi.2004.01.006",15003210
142201,1,"10.1007/s11103-004-6853-5",15821876
456298,1,"10.1105/tpc.105.031716",15829600
4704082,1,"10.1105/tpc.105.030841",15829603
5107744,1,"10.1101/gad.1291905",15833912
6284121,1,"10.1002/bdrc.20030",15838922
1437213,1,"10.1261/rna.5980303",13130141
3014423,1,"10.1182/blood-2006-01-030015",16882713
4507355,1,"10.1101/gad.1444406",16882971
2947580,1,"10.1101/gad.1454806",16882972
2263454,1,"10.1073/pnas.0605298103",16885212
219048,1,"10.1016/j.tplants.2006.07.006",16893673
61573,1,"10.1038/nrmicro1473",16912711
2917587,1,"10.1038/nmeth704",15782152
5240269,1,"10.1038/nmeth717",15782179
4804995,1,"10.1038/nmeth746",15782219
3600021,1,"10.1016/j.gde.2005.01.002",15797203
2783198,1,"10.1073/pnas.0408192102",15800047
1303278,1,"10.1038/nature03462",15800628
252745,1,"10.1038/nature03514",15800629
3427092,1,"10.1038/nsmb918",15800637
2806201,1,"10.1105/tpc.105.031682",15805478
4646950,1,"10.1038/ng1536",15806104
3904274,1,"10.1016/j.devcel.2005.01.018",15809034
398042,1,"10.1093/hmg/ddi101",15809264
2245940,1,"10.1038/sj.emboj.7601603",17332757
2588593,1,"10.1101/gad.1522907",17344418
104249,1,"10.1016/j.cell.2007.01.043",17346786
6379098,1,"10.1016/j.tibs.2007.02.006",17350266
6350407,1,"10.1182/blood-2007-02-071225",17351108
1359866,1,"10.1371/journal.pcbi.0030037",17352530
2758103,1,"10.1093/nar/gkl1118",17355992
5650302,1,"10.1186/1471-2229-7-13",17359535
5456709,1,"10.1073/pnas.0611456104",17360559
3435747,1,"10.1084/jem.20061692",17060477
1862154,1,"10.1038/nmeth954",17060911
2203573,1,"10.1038/nrc1997",17060945
2683952,1,"10.1016/j.molmed.2006.10.006",17071139
3680033,1,"10.2353/ajpath.2006.060480",17071602
1976903,1,"10.1073/pnas.0608258103",17071740
6056809,1,"10.1038/ng1914",17072315
2625796,1,"10.1038/ng1910",17072316
3604272,1,"10.1038/sj.onc.1210083",17072344
4410323,1,"10.1016/j.cell.2007.07.039",17693253
6226452,1,"10.1038/nmeth1079",17694064
4648403,1,"10.1186/gb-2007-8-8-r166",17697356
4380342,1,"10.1261/rna.642907",17698639
1296214,1,"10.1101/gad.1591507",17699746
1210105,1,"10.1016/j.pbi.2007.07.004",17709279
366818,1,"10.1186/gb-2007-8-8-r173",17711588
