pmid,in_degree,out_degree,title,has_abstract
6494891,50.0,0.0,Heterochronic mutants of the nematode Caenorhabditis elegans.,True
15371329,16.0,37.0,A single Argonaute protein mediates both transcriptional and posttranscriptional silencing in Schizosaccharomyces pombe.,True
15371337,50.0,31.0,"In vivo investigation of the transcription, processing, endonucleolytic activity, and functional relevance of the spatial distribution of a plant miRNA.",True
15372040,31.0,33.0,Revealing the world of RNA interference.,True
15372041,111.0,76.0,Mechanisms of gene silencing by double-stranded RNA.,True
15372042,263.0,45.0,The functions of animal microRNAs.,True
15372043,104.0,59.0,RNA silencing in plants.,True
15372044,42.0,21.0,The role of RNA interference in heterochromatic silencing.,True
15372072,329.0,27.0,MicroRNA genes are transcribed by RNA polymerase II.,True
15383676,70.0,17.0,Fast and effective prediction of microRNA/target duplexes.,True
11485817,23.0,28.0,RNA silencing as a plant immune system against viruses.,True
11486053,146.0,17.0,A role for the RNase III enzyme DCR-1 in RNA interference and germ line development in Caenorhabditis elegans.,True
11498593,209.0,20.0,"Argonaute2, a link between genetic and biochemical analyses of RNAi.",True
16081530,113.0,52.0,Arabidopsis ARGONAUTE1 is an RNA Slicer that selectively recruits microRNAs and short interfering RNAs.,True
16081698,230.0,9.0,Inhibition of translational initiation by Let-7 MicroRNA in human cells.,True
16086853,50.0,24.0,MicroRNA profiling of the murine hematopoietic system.,True
16099643,19.0,70.0,"How microRNAs control cell division, differentiation and death.",True
16099834,76.0,26.0,Characterization of Dicer-deficient murine embryonic stem cells.,True
16103902,61.0,23.0,microRNA target predictions across seven Drosophila species and comparison to mammalian targets.,True
16109369,60.0,25.0,The developmental timing regulator AIN-1 interacts with miRISCs and may target the argonaute protein ALG-1 to cytoplasmic P bodies in C. elegans.,True
16111679,43.0,134.0,MicroRNA function in animal development.,True
16111943,88.0,19.0,Methylation protects miRNAs and siRNAs from a 3'-end uridylation activity in Arabidopsis.,True
11823432,20.0,23.0,A viral protein inhibits the long range signaling activity of the gene silencing signal.,True
15496526,61.0,22.0,Probing microRNAs with microarrays: tissue specificity and functional inference.,True
15502875,204.0,76.0,Human MicroRNA targets.,True
16989803,44.0,84.0,microRNAs as oncogenes and tumor suppressors.,True
16990141,83.0,28.0,A pattern-based method for the identification of MicroRNA binding sites and their corresponding heteroduplexes.,True
16998468,51.0,18.0,Distinct catalytic and non-catalytic roles of ARGONAUTE4 in RNA-directed DNA methylation.,True
17011485,79.0,94.0,The diverse functions of microRNAs in animal development and disease.,True
11073454,44.0,8.0,Transgene and transposon silencing in Chlamydomonas reinhardtii by a DEAH-box RNA helicase.,True
11081512,277.0,10.0,Conservation of the sequence and temporal expression of let-7 heterochronic regulatory RNA.,True
14983173,36.0,35.0,RNase III enzymes and the initiation of gene silencing.,True
14985473,64.0,33.0,A high-throughput method to monitor the expression of microRNA precursors.,True
14988555,48.0,0.0,RNA silencing genes control de novo DNA methylation.,False
14999284,61.0,15.0,Spatially restricted microRNA directs leaf polarity through ARGONAUTE1.,True
14999285,58.0,11.0,microRNA-mediated repression of rolled leaf1 specifies maize leaf polarity.,True
15003116,134.0,34.0,Expression profiling of mammalian microRNAs uncovers a subset of brain-expressed microRNAs with possible roles in murine and human neuronal differentiation.,True
15003210,13.0,48.0,MicroRNAs: something important between the genes.,True
15821876,47.0,17.0,Specific interactions between Dicer-like proteins and HYL1/DRB-family dsRNA-binding proteins in Arabidopsis thaliana.,True
15829600,28.0,45.0,MicroRNA-directed regulation of Arabidopsis AUXIN RESPONSE FACTOR17 is essential for proper development and modulates expression of early auxin response genes.,True
15829603,32.0,25.0,MicroRNA directs mRNA cleavage of the transcription factor NAC1 to downregulate auxin signals for arabidopsis lateral root development.,True
15833912,51.0,38.0,"Pervasive regulation of Drosophila Notch target genes by GY-box-, Brd-box-, and K-box-class microRNAs.",True
15838922,0.0,54.0,Molecular mechanisms of RNAi: implications for development and disease.,True
13130141,110.0,21.0,A microRNA array reveals extensive regulation of microRNAs during brain development.,True
16882713,8.0,59.0,MicroRNAs: regulators of gene expression and cell differentiation.,True
16882971,127.0,29.0,Extensive post-transcriptional regulation of microRNAs and its implications for cancer.,True
16882972,50.0,22.0,Specific association of Piwi with rasiRNAs derived from retrotransposon and heterochromatic regions in the Drosophila genome.,True
16885212,74.0,28.0,"NF-kappaB-dependent induction of microRNA miR-146, an inhibitor targeted to signaling proteins of innate immune responses.",True
16893673,23.0,73.0,Arabidopsis endogenous small RNAs: highways and byways.,True
16912711,6.0,56.0,"MicroRNAs: expression, avoidance and subversion by vertebrate viruses.",True
15782152,80.0,18.0,A custom microarray platform for analysis of microRNA gene expression.,True
15782179,73.0,19.0,"Microarray-based, high-throughput gene expression profiling of microRNAs.",True
15782219,85.0,15.0,Identification of microRNAs of the herpesvirus family.,True
15797203,23.0,42.0,MicroRNAs: a developing story.,True
15800047,30.0,27.0,Kaposi's sarcoma-associated herpesvirus expresses an array of viral microRNAs in latently infected cells.,True
15800628,97.0,28.0,Structural insights into mRNA recognition from a PIWI domain-siRNA guide complex.,True
15800629,108.0,25.0,Structural basis for 5'-end-specific recognition of guide RNA by the A. fulgidus Piwi protein.,True
15800637,110.0,25.0,Purified Argonaute2 and an siRNA form recombinant human RISC.,True
15805478,36.0,56.0,Cloning and characterization of microRNAs from rice.,True
15806104,284.0,19.0,Combinatorial microRNA target predictions.,True
15809034,78.0,38.0,Specific effects of microRNAs on the plant transcriptome.,True
15809264,11.0,81.0,Small regulatory RNAs in mammals.,True
17332757,38.0,37.0,"Role of Arabidopsis AGO6 in siRNA accumulation, DNA methylation and transcriptional gene silencing.",True
17344418,48.0,30.0,Dynamic regulation of miRNA expression in ordered stages of cellular development.,True
17346786,65.0,18.0,Discrete small RNA-generating loci as master regulators of transposon activity in Drosophila.,True
17350266,10.0,75.0,A developmental view of microRNA function.,True
17351108,36.0,8.0,Abnormal microRNA-16 locus with synteny to human 13q14 linked to CLL in NZB mice.,True
17352530,21.0,21.0,Characterization and identification of microRNA core promoters in four model species.,True
17355992,13.0,39.0,A novel microarray approach reveals new tissue-specific signatures of known and predicted mammalian microRNAs.,True
17359535,7.0,51.0,Evidence for the rapid expansion of microRNA-mediated regulation in early land plant evolution.,True
17360559,17.0,33.0,Role of RNA polymerase IV in plant small RNA metabolism.,True
17060477,26.0,22.0,A role for Dicer in immune regulation.,True
17060911,32.0,30.0,A guide through present computational approaches for the identification of mammalian microRNA targets.,True
17060945,151.0,69.0,MicroRNA signatures in human cancers.,True
17071139,22.0,47.0,MicroRNA expression and function in cancer.,True
17071602,28.0,26.0,"Up-regulation of dicer, a component of the MicroRNA machinery, in prostate adenocarcinoma.",True
17071740,39.0,17.0,A pathogen-inducible endogenous siRNA in plant immunity.,True
17072315,45.0,9.0,Diversity of microRNAs in human and chimpanzee brain.,True
17072316,36.0,10.0,Natural selection on human microRNA binding sites inferred from SNP data.,True
17072344,87.0,16.0,miR-21-mediated tumor growth.,True
17693253,38.0,36.0,Antiviral immunity directed by small RNAs.,True
17694064,80.0,18.0,MicroRNA sponges: competitive inhibitors of small RNAs in mammalian cells.,True
17697356,12.0,42.0,The roles of binding site arrangement and combinatorial targeting in microRNA repression of gene expression.,True
17698639,21.0,27.0,Systematic analysis of microRNA expression of RNA extracted from fresh frozen and formalin-fixed paraffin-embedded samples.,True
17699746,25.0,31.0,MicroRNAs repress translation of m7Gppp-capped target mRNAs in vitro by inhibiting initiation and promoting deadenylation.,False
17709279,9.0,67.0,Conservation and evolution of miRNA regulatory programs in plant development.,True
17711588,13.0,39.0,MicroRNAs show a wide diversity of expression profiles in the developing and mature central nervous system.,True
18610513,54.0,0.0,A similarity between viral defense and gene silencing in plants.,True
18619591,6.0,51.0,MicroRNA miR-124 regulates neurite outgrowth during neuronal differentiation.,True
18620087,0.0,104.0,The art of microRNA: various strategies leading to gene silencing via an ancient pathway.,True
18624757,4.0,57.0,microRNAs: tiny regulators of synapse function in development and disease.,True
18624758,1.0,73.0,MicroRNA expression in lymphoid malignancies: new hope for diagnosis and therapy?,True
18632569,27.0,54.0,The RNA-binding proteins HYL1 and SE promote accurate in vitro processing of pri-miRNA by DCL1.,True
18632581,34.0,16.0,The FHA domain proteins DAWDLE in Arabidopsis and SNIP1 in humans act in small RNA biogenesis.,True
18674967,21.0,53.0,"let-7 microRNAs in development, stem cells and cancer.",True
18596939,13.0,36.0,Aberrant expression of oncogenic and tumor-suppressive microRNAs in cervical cancer is required for cancer cell growth.,True
18680427,7.0,52.0,Direct and indirect roles of viral suppressors of RNA silencing in pathogenesis.,True
15236758,0.0,73.0,RNAi: ancient mechanism with a promising future.,True
9851978,49.0,2.0,A novel class of evolutionarily conserved genes defined by piwi are essential for stem cell self-renewal.,True
15242620,44.0,7.0,Role of Arabidopsis ARGONAUTE4 in RNA-directed DNA methylation triggered by inverted repeats.,True
15242644,102.0,25.0,Single processing center models for human Dicer and bacterial RNase III.,True
18802435,4.0,78.0,Design and delivery of antisense oligonucleotides to block microRNA function in cultured Drosophila and human cells.,True
18806776,73.0,18.0,"MicroRNAs to Nanog, Oct4 and Sox2 coding regions modulate embryonic stem cell differentiation.",True
20703300,95.0,27.0,Mammalian microRNAs predominantly act to decrease target mRNA levels.,True
11253050,26.0,20.0,Post-transcriptional gene silencing by double-stranded RNA.,True
18687877,17.0,37.0,A diverse set of microRNAs and microRNA-like small RNAs in developing rice grains.,True
15247924,47.0,4.0,Dicer is essential for formation of the heterochromatin structure in vertebrate cells.,True
20706278,12.0,44.0,RNA-based antiviral immunity.,True
20708002,3.0,138.0,Dysregulation of microRNAs in cancer: playing with fire.,True
18812439,24.0,23.0,"MicroRNA miR-21 overexpression in human breast cancer is associated with advanced clinical stage, lymph node metastasis and patient poor prognosis.",True
18812516,52.0,20.0,A search for conserved sequences in coding regions reveals that the let-7 microRNA targets Dicer within its coding sequence.,True
15258262,87.0,59.0,Novel and stress-regulated microRNAs and other small RNAs from Arabidopsis.,True
15258266,22.0,42.0,A systemic small RNA signaling system in plants.,True
18604195,67.0,18.0,A feedback loop comprising lin-28 and let-7 controls pre-let-7 maturation during neural stem-cell commitment.,True
18605976,0.0,89.0,Small RNAs and cancerogenesis.,True
15260969,42.0,20.0,AtXRN4 degrades mRNA in Arabidopsis and its substrates include selected miRNA targets.,True
15260970,242.0,96.0,Human Argonaute2 mediates RNA cleavage targeted by miRNAs and siRNAs.,True
18817506,18.0,121.0,MicroRNAs in cancer.,True
22461413,2.0,53.0,Functional parameters of Dicer-independent microRNA biogenesis.,True
20726859,3.0,67.0,The microRNA pathway and cancer.,True
18830242,29.0,20.0,Early origins and evolution of microRNAs and Piwi-interacting RNAs in animals.,True
18691933,8.0,51.0,MicroRNA maturation and action--the expanding roles of ARGONAUTEs.,True
20130435,0.0,53.0,MicroRNAs as a new potential therapeutic opportunity in gastrointestinal cancer.,True
20130964,1.0,54.0,microRNAs and lung cancer: tumors and 22-mers.,True
18692474,42.0,28.0,Connecting microRNA genes to the core transcriptional regulatory circuitry of embryonic stem cells.,True
20143452,0.0,60.0,"Small noncoding RNAs: biogenesis, function, and emerging significance in toxicology.",True
20144549,0.0,61.0,Emerging role of small ribonucleic acids in gastrointestinal tumors.,True
21533017,4.0,93.0,MicroRNA in Cancer: The Involvement of Aberrant MicroRNA Biogenesis Regulatory Pathways.,True
20146715,1.0,53.0,MicroRNAs of the immune system: roles in inflammation and cancer.,True
21537368,0.0,77.0,MicroRNA: A matter of life or death.,True
20157565,1.0,57.0,Coupling transcriptional and post-transcriptional miRNA regulation in the control of cell fate.,True
19451215,7.0,43.0,The role of RNAi and microRNAs in animal virus replication and antiviral immunity.,True
19450959,21.0,61.0,Mechanisms of miRNA-mediated post-transcriptional regulation in animal cells.,True
